year,series_name,match_type,match_no,match_date,match_winning_team,match_toss,innings,ball_no,over_no,ball_commentary
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,5,1,"Harshal: Ball started tailing a bit when I came into bowl the 16th over, that was my cue. And I executed brilliantly. You can't look at the opposition all the time. All you need to focus on at the top of your mark is your execution and planning and that's what I did. It was very clear from the beginning I was going to bowl two overs at the death but today I bowled three. Feels great. This is my first five-wicket haul in all the T20s I've played. Coming against MI it feels special. It's a decent batting surface. Just the dimensions allow you to take pace off. Also the bounce isn't as good as it usually is. It's probably keeping low. But I don't think it's a two paced wicket."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,6,1,"21:21 Local Time, 15:51 GMT, 21:21 IST: Stunning last over from Harshal Patel. Three wickets and just one run. What a squeeze this is from RCB. MI were 86/1 in 10 overs and SKY was looking dangerous. RCB didn't have renowned names for the death overs, but they have kept Rohit and Co. to under 160 and Kohli is extremely happy. 73/8 in the last 10 overs against a side like MI is not a joke. Credit to Kohli for his smart captaincy. Got Jamieson back on to get Surya, introduced Sundar to get Lynn. Siraj bowled a very good wicketless spell. And then Harshal Patel stole the show. Almost got a hat-trick as he recorded his best IPL figures. Kohli got hit under his right eye missing a catch. It turned red and he walked off the field after the innings with an icepack. RCB will back themselves to chase this down. MI will pray for the dew to be absent today. Chase coming up shortly."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,7,1,"Harshal Patel to Bumrah, out Rahul Chahar Run Out!! 1 run completed. Bumrah drives off the front foot to long-on, Chahar races back to see if can steal a run, but Bumrah wasn't keen. Both batsmen at one end. AB gently checks the bails off after collecting the throw. Rahul Chahar run out (Kohli/de Villiers) 0(0)"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,8,1,"Harshal Patel to Bumrah, THATS OUT!! Run Out!!"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,9,1,"Harshal Patel to Bumrah, no run, now he almost gets a sixth with an inswinging yorker, Bumrah couldn't squeeze it. Ball was just outside off stump, AB threw the ball onto the sticks, ball ricochets and decide against stealing run"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,10,1,"Jasprit Bumrah, right handed bat, comes to the crease"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,11,1,"Harshal Patel to Marco Jansen, out Bowled!! One ball later but he has a five-wicket haul. Harshal Patel with an inswinging yorker that smashes the sticks. Wow! Kohli is delighted. All those worried about RCB's death bowling will be happy to see this. Jansen obviously not well equipped to dig this out, loses the off stick and walks back. Marco Jansen b Harshal Patel 0(2)"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,12,1,"Harshal Patel to Marco Jansen, THATS OUT!! Bowled!!"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,13,1,"Harshal Patel to Marco Jansen, no run, oh almost bowled! Jansen backed away and missed this dipping slower ball yorker"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,14,1,"Rahul Chahar, right handed bat, comes to the crease"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,15,1,"Harshal Patel to Pollard, out Caught by Washington Sundar!! Make that four for Harshal Patel. What an outing. Pollard is unable to pick any change of pace today. Played the slog early, ball came slow and ended up playing with one hand. Bat turns on impact and ball goes straight to deep backward square leg to make it the best bowling figures for Harshal Patel in IPL. He's on a hat-trick too. Pollard c Washington Sundar b Harshal Patel 7(9) [4s-1]"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,16,1,"Harshal Patel to Pollard, THATS OUT!! Caught!!"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,17,1,"Marco Jansen, right handed bat, comes to the crease"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,18,1,"Harshal Patel to Krunal Pandya, out Caught by Christian!! The shot looked stylish but style doesn't always work. Stayed leg-side of the ball, didn't bother to move his feet and just used his wrists to whip that ball for six than open the front leg and slog conventional way. The ball went high over mid-wicket and Christian was calm on the fence. Three for Harshal Patel. Krunal Pandya c Christian b Harshal Patel 7(7) [4s-1]"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,19,1,"Harshal Patel to Krunal Pandya, THATS OUT!! Caught!!"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,20,1,A pretty good outing for Jamieson on debut - 4-0-27-1.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,21,1,"Jamieson to Pollard, no run, beaten! Pollard not picking slower balls, swings early and misses"
