name,href,role,profile_id
Kedar jadhav,https://www.cricbuzz.com/profiles/1851/kedar-jadhav,bench,1851
Jason roy,https://www.cricbuzz.com/profiles/6534/jason-roy,bench,6534
Shahbaz nadeem,https://www.cricbuzz.com/profiles/7906/shahbaz-nadeem,bench,7906
Jason holder,https://www.cricbuzz.com/profiles/8313/jason-holder,bench,8313
Virat singh,https://www.cricbuzz.com/profiles/10213/virat-singh,bench,10213
Basil thampi,https://www.cricbuzz.com/profiles/10267/basil-thampi,bench,10267
Jagadeesha suchith,https://www.cricbuzz.com/profiles/10357/jagadeesha-suchith,bench,10357
Khaleel ahmed,https://www.cricbuzz.com/profiles/10952/khaleel-ahmed,bench,10952
Mujeeb ur rahman,https://www.cricbuzz.com/profiles/12071/mujeeb-ur-rahman,bench,12071
Abhishek sharma,https://www.cricbuzz.com/profiles/12086/abhishek-sharma,bench,12086
Priyam garg,https://www.cricbuzz.com/profiles/12089/priyam-garg,bench,12089
Sunil narine,https://www.cricbuzz.com/profiles/2276/sunil-narine,bench,2276
Ben cutting,https://www.cricbuzz.com/profiles/8118/ben-cutting,bench,8118
Karun nair,https://www.cricbuzz.com/profiles/8257/karun-nair,bench,8257
Pawan negi,https://www.cricbuzz.com/profiles/8281/pawan-negi,bench,8281
Kuldeep yadav,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav,bench,8292
Gurkeerat singh mann,https://www.cricbuzz.com/profiles/8298/gurkeerat-singh-mann,bench,8298
Sheldon jackson,https://www.cricbuzz.com/profiles/8846/sheldon-jackson,bench,8846
Sandeep warrier,https://www.cricbuzz.com/profiles/8944/sandeep-warrier,bench,8944
Tim seifert,https://www.cricbuzz.com/profiles/9443/tim-seifert,bench,9443
Lockie ferguson,https://www.cricbuzz.com/profiles/10692/lockie-ferguson,bench,10692
Rinku singh,https://www.cricbuzz.com/profiles/10896/rinku-singh,bench,10896
Venkatesh iyer,https://www.cricbuzz.com/profiles/10917/venkatesh-iyer,bench,10917
Kamlesh nagarkoti,https://www.cricbuzz.com/profiles/12092/kamlesh-nagarkoti,bench,12092
Shivam mavi,https://www.cricbuzz.com/profiles/12345/shivam-mavi,bench,12345
Vaibhav arora,https://www.cricbuzz.com/profiles/15861/vaibhav-arora,bench,15861
Manan vohra,https://www.cricbuzz.com/profiles/8358/manan-vohra,playing_11,8358
Ben stokes,https://www.cricbuzz.com/profiles/6557/ben-stokes,playing_11,6557
Sanju samson,https://www.cricbuzz.com/profiles/8271/sanju-samson,captain and wk,8271
Jos buttler,https://www.cricbuzz.com/profiles/2258/jos-buttler,playing_11,2258
