match_no,match_name,match_type,match_date,match_time,match_venue,match_href,match_team1,match_team2,winning_team
50,ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS,League,"Oct 03,2021",3:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37627/rcb-vs-pbks-48th-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,ROYAL CHALLENGERS BANGALORE
51,KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD,League,"Oct 03,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37631/kkr-vs-srh-49th-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS
52,DELHI CAPITALS vs CHENNAI SUPER KINGS,League,"Oct 04,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37632/dc-vs-csk-50th-match-indian-premier-league-2021,DELHI CAPITALS,CHENNAI SUPER KINGS,DELHI CAPITALS
53,RAJASTHAN ROYALS vs MUMBAI INDIANS,League,"Oct 05,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37637/rr-vs-mi-51st-match-indian-premier-league-2021,RAJASTHAN ROYALS,MUMBAI INDIANS,MUMBAI INDIANS
54,ROYAL CHALLENGERS BENGALURU vs SUNRISERS HYDERABAD,League,"Oct 06,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37642/rcb-vs-srh-52nd-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,SUNRISERS HYDERABAD,SUNRISERS HYDERABAD
55,CHENNAI SUPER KINGS vs PUNJAB KINGS,League,"Oct 07,2021",3:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37646/csk-vs-pbks-53rd-match-indian-premier-league-2021,CHENNAI SUPER KINGS,PUNJAB KINGS,PUNJAB KINGS
56,KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS,League,"Oct 07,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37651/kkr-vs-rr-54th-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS
57,SUNRISERS HYDERABAD vs MUMBAI INDIANS,League,"Oct 08,2021",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",https://www.cricbuzz.com/cricket-scores/37656/srh-vs-mi-55th-match-indian-premier-league-2021,SUNRISERS HYDERABAD,MUMBAI INDIANS,MUMBAI INDIANS
58,ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS,League,"Oct 08,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37661/rcb-vs-dc-56th-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE
59,DELHI CAPITALS vs CHENNAI SUPER KINGS,Playoff,"Oct 10,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37666/dc-vs-csk-qualifier-1-indian-premier-league-2021,DELHI CAPITALS,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS
60,ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS,Playoff,"Oct 11,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37671/rcb-vs-kkr-eliminator-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,KOLKATA KNIGHT RIDERS
61,DELHI CAPITALS vs KOLKATA KNIGHT RIDERS,Playoff,"Oct 13,2021",7:30 PM,"Sharjah Cricket Stadium, Sharjah",https://www.cricbuzz.com/cricket-scores/37672/dc-vs-kkr-qualifier-2-indian-premier-league-2021,DELHI CAPITALS,KOLKATA KNIGHT RIDERS,KOLKATA KNIGHT RIDERS
62,CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS,Playoff,"Oct 15,2021",7:30 PM,"Dubai International Cricket Stadium, Dubai",https://www.cricbuzz.com/cricket-scores/37676/csk-vs-kkr-final-indian-premier-league-2021,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS
