,year,series_type,series_name,series_href
1918,2002,International,"India in West Indies Test Series, 2002",https://www.cricbuzz.com/cricket-series/1479/india-in-west-indies-test-series-2002/matches
1919,2002,International,"New Zealand, Pakistan, Sri Lanka in United Arab Emirates, 2002",https://www.cricbuzz.com/cricket-series/777/new-zealand-pakistan-sri-lanka-in-united-arab-emirates-2002/matches
1920,2002,International,"Australia in South Africa ODI Series, 2002",https://www.cricbuzz.com/cricket-series/776/australia-in-south-africa-odi-series-2002/matches
1921,2002,International,"England in New Zealand Test Series, 2002",https://www.cricbuzz.com/cricket-series/1477/england-in-new-zealand-test-series-2002/matches
1922,2002,International,"Zimbabwe in India ODI Series, 2002",https://www.cricbuzz.com/cricket-series/775/zimbabwe-in-india-odi-series-2002/matches
1923,2002,International,"Australia in South Africa Test Series, 2002",https://www.cricbuzz.com/cricket-series/1476/australia-in-south-africa-test-series-2002/matches
1924,2002,International,"Zimbabwe in India Test Series, 2002",https://www.cricbuzz.com/cricket-series/1474/zimbabwe-in-india-test-series-2002/matches
1925,2002,International,"Pakistan v West Indies ODI Series, 2002",https://www.cricbuzz.com/cricket-series/773/pakistan-v-west-indies-odi-series-2002/matches
1926,2002,International,"England in New Zealand ODI Series, 2002",https://www.cricbuzz.com/cricket-series/774/england-in-new-zealand-odi-series-2002/matches
1927,2002,International,"Pakistan v West Indies Test Series, 2002",https://www.cricbuzz.com/cricket-series/1473/pakistan-v-west-indies-test-series-2002/matches
1928,2002,International,"Pakistan in Bangladesh ODI Series, 2002",https://www.cricbuzz.com/cricket-series/770/pakistan-in-bangladesh-odi-series-2002/matches
1929,2002,International,"England in India ODI Series, 2002",https://www.cricbuzz.com/cricket-series/771/england-in-india-odi-series-2002/matches
1930,2002,International,"Australia, New Zealand, South Africa in Australia, 2002",https://www.cricbuzz.com/cricket-series/772/australia-new-zealand-south-africa-in-australia-2002/matches
1931,2002,International,"Pakistan in Bangladesh Test Series, 2002",https://www.cricbuzz.com/cricket-series/1472/pakistan-in-bangladesh-test-series-2002/matches
1932,2002,Women,India Women tour of England 2002,https://www.cricbuzz.com/cricket-series/4681/india-women-tour-of-england-2002/matches
1933,2002,Women,India Women tour of Ireland 2002,https://www.cricbuzz.com/cricket-series/6050/india-women-tour-of-ireland-2002/matches
1934,2002,Women,"Womens ODI Tri-Series in England, 2002",https://www.cricbuzz.com/cricket-series/6046/womens-odi-tri-series-in-england-2002/matches
1935,2002,Women,"New Zealand Women tour of Ireland, 2002",https://www.cricbuzz.com/cricket-series/6498/new-zealand-women-tour-of-ireland-2002/matches
1936,2002,Women,"New Zealand Women tour of Netherlands, 2002",https://www.cricbuzz.com/cricket-series/6512/new-zealand-women-tour-of-netherlands-2002/matches
1937,2002,Women,"India Women tour of South Africa, 2001-02",https://www.cricbuzz.com/cricket-series/3846/india-women-tour-of-south-africa-2001-02/matches
1938,2002,Women,"New Zealand Women tour of Australia, 2001/02",https://www.cricbuzz.com/cricket-series/6491/new-zealand-women-tour-of-australia-200102/matches
1939,2002,Women,"Pakistan Women tour of Sri Lanka, 2002",https://www.cricbuzz.com/cricket-series/6106/pakistan-women-tour-of-sri-lanka-2002/matches
1940,2002,Women,"England Women tour of India, 2002",https://www.cricbuzz.com/cricket-series/4576/england-women-tour-of-india-2002/matches
1941,2003,International,"Pakistan in New Zealand Test Series, 2003",https://www.cricbuzz.com/cricket-series/1507/pakistan-in-new-zealand-test-series-2003/matches
1942,2003,International,"West Indies in South Africa, 2003-04",https://www.cricbuzz.com/cricket-series/1509/west-indies-in-south-africa-2003-04/matches
1943,2003,International,"India in Australia, 2003-04",https://www.cricbuzz.com/cricket-series/1508/india-in-australia-2003-04/matches
1944,2003,International,"England in Sri Lanka Test Series, 2003",https://www.cricbuzz.com/cricket-series/1506/england-in-sri-lanka-test-series-2003/matches
1945,2003,International,"New Zealand in Pakistan ODI Series, 2003",https://www.cricbuzz.com/cricket-series/811/new-zealand-in-pakistan-odi-series-2003/matches
1946,2003,International,"West Indies in Zimbabwe ODI Series, 2003",https://www.cricbuzz.com/cricket-series/810/west-indies-in-zimbabwe-odi-series-2003/matches
1947,2003,International,"England in Sri Lanka ODI Series, 2003",https://www.cricbuzz.com/cricket-series/809/england-in-sri-lanka-odi-series-2003/matches
1948,2003,International,"England in Bangladesh ODI Series, 2003",https://www.cricbuzz.com/cricket-series/807/england-in-bangladesh-odi-series-2003/matches
1949,2003,International,"West Indies in Zimbabwe, 2003",https://www.cricbuzz.com/cricket-series/1505/west-indies-in-zimbabwe-2003/matches
1950,2003,International,"Australia, India, New Zealand in India, 2003",https://www.cricbuzz.com/cricket-series/808/australia-india-new-zealand-in-india-2003/matches
1951,2003,International,"England in Bangladesh Test Series, 2003",https://www.cricbuzz.com/cricket-series/1504/england-in-bangladesh-test-series-2003/matches
1952,2003,International,"South Africa in Pakistan Test Series, 2003",https://www.cricbuzz.com/cricket-series/1503/south-africa-in-pakistan-test-series-2003/matches
1953,2003,International,"Zimbabwe in Australia, 2003",https://www.cricbuzz.com/cricket-series/1502/zimbabwe-in-australia-2003/matches
1954,2003,International,"New Zealand in India Test Series, 2003",https://www.cricbuzz.com/cricket-series/1501/new-zealand-in-india-test-series-2003/matches
1955,2003,International,"South Africa in Pakistan ODI Series, 2003",https://www.cricbuzz.com/cricket-series/806/south-africa-in-pakistan-odi-series-2003/matches
